RiverManagement,Urbanization,ClimateChange,DamsQuality,FloodProbability
9,7,5,4,0.56
5,7,6,6,0.5
1,5,7,6,0.59
8,4,6,7,0.56
3,5,5,3,0.515
8,6,3,12,0.57
9,5,3,0,0.38
3,3,4,3,0.49
6,2,5,6,0.545
2,8,3,5,0.445
8,4,7,10,0.445
5,2,6,5,0.455
4,6,4,12,0.525
5,7,4,3,0.55
3,8,1,7,0.425
5,11,3,6,0.52
4,5,6,5,0.425
6,3,7,7,0.565
6,3,4,2,0.48
5,10,5,5,0.49
5,6,3,3,0.48
3,4,8,2,0.48
3,5,2,5,0.52
4,2,5,2,0.54
8,1,1,3,0.41
7,2,7,5,0.525
2,5,5,3,0.48
2,5,7,1,0.55
3,6,6,4,0.52
3,4,6,2,0.445
5,4,4,2,0.455
5,5,7,1,0.51
7,5,9,5,0.565
6,3,6,1,0.465
4,10,3,5,0.53
4,4,4,4,0.45
5,5,6,9,0.55
1,2,2,6,0.44
5,3,4,10,0.445
6,6,4,5,0.48
8,2,4,5,0.41
3,5,5,7,0.495
8,6,5,7,0.555
5,5,1,9,0.5
6,2,6,4,0.535
7,2,8,4,0.445
3,4,2,2,0.48
6,5,6,2,0.54
5,12,3,4,0.59
5,9,7,5,0.54
5,4,7,6,0.5
1,6,5,6,0.475
10,5,3,2,0.525
4,1,3,5,0.51
4,4,7,6,0.49
5,3,5,7,0.56
2,4,4,9,0.54
6,4,10,5,0.565
9,5,7,7,0.53
5,3,5,4,0.43
4,3,8,9,0.45
10,5,6,9,0.53
3,3,3,0,0.41
3,8,6,4,0.48
0,7,4,5,0.42
6,6,8,1,0.44
4,2,6,7,0.485
2,3,4,6,0.535
4,3,6,3,0.52
6,0,10,4,0.5
3,5,6,6,0.535
1,1,5,3,0.48
4,6,6,6,0.415
8,0,2,5,0.425
5,5,4,7,0.475
4,7,3,7,0.535
2,6,3,8,0.46
5,3,4,4,0.475
8,7,5,3,0.51
5,5,4,4,0.495
7,3,7,5,0.515
3,4,5,5,0.565
3,8,5,6,0.51
2,5,4,3,0.475
9,5,4,4,0.56
6,7,5,4,0.51
6,2,7,6,0.455
9,5,4,6,0.535
3,4,14,5,0.545
4,7,4,3,0.445
3,3,3,8,0.535
6,6,6,1,0.47
4,3,8,6,0.485
2,5,8,4,0.415
6,2,4,1,0.47
4,3,6,8,0.53
6,7,3,10,0.61
7,2,8,6,0.54
3,3,4,2,0.485
4,6,4,4,0.59
5,3,6,6,0.555
8,7,9,3,0.55
8,6,5,1,0.425
2,2,3,2,0.395
6,6,5,6,0.46
1,3,2,4,0.425
12,9,12,5,0.605
3,3,5,3,0.52
4,2,5,0,0.49
5,7,5,4,0.42
3,4,6,4,0.5
3,9,4,3,0.525
4,3,6,6,0.535
3,5,3,3,0.435
3,2,2,4,0.54
5,9,6,3,0.5
4,5,8,6,0.45
5,5,6,6,0.525
7,6,5,6,0.485
6,3,2,3,0.435
8,4,5,8,0.495
8,4,8,5,0.52
2,9,2,4,0.485
5,5,7,10,0.51
3,2,3,5,0.405
10,7,5,7,0.5
4,1,9,4,0.52
4,6,9,11,0.49
4,5,5,4,0.53
4,6,5,3,0.47
5,5,5,4,0.46
4,2,9,6,0.465
6,4,3,3,0.475
4,4,4,4,0.455
4,6,4,6,0.43
8,3,8,6,0.505
6,3,5,7,0.48
5,3,6,5,0.545
4,3,3,4,0.45
3,4,4,6,0.445
2,5,10,6,0.48
1,7,2,5,0.53
9,3,7,9,0.535
6,6,2,4,0.505
7,5,7,7,0.565
2,2,8,2,0.425
2,5,6,6,0.53
6,4,7,6,0.565
5,7,2,3,0.45
5,4,8,5,0.51
4,5,3,4,0.51
4,6,7,3,0.505
5,9,8,5,0.55
5,4,7,5,0.53
4,4,4,3,0.46
9,3,5,9,0.49
5,7,3,4,0.455
9,3,1,7,0.54
7,4,4,5,0.525
4,2,3,7,0.54
3,8,6,7,0.5
2,3,9,5,0.495
6,3,8,2,0.51
7,4,5,5,0.46
2,7,4,3,0.495
1,6,4,4,0.465
3,3,4,4,0.42
10,5,4,3,0.47
5,5,5,5,0.485
5,6,6,5,0.465
6,2,3,4,0.43
3,6,5,1,0.46
7,6,6,4,0.52
6,4,3,6,0.455
2,7,3,6,0.47
5,5,6,8,0.555
10,7,8,4,0.565
8,6,6,4,0.585
6,4,4,3,0.48
5,3,2,6,0.545
4,5,3,3,0.405
7,2,5,6,0.53
7,7,7,2,0.495
1,6,7,4,0.525
2,5,4,1,0.465
4,5,8,13,0.595
3,6,5,7,0.475
5,6,5,3,0.46
8,7,6,5,0.545
2,3,6,3,0.435
6,7,5,4,0.575
2,4,2,5,0.47
3,3,3,3,0.485
3,4,7,9,0.575
6,4,5,5,0.525
5,7,5,6,0.595
8,6,4,3,0.53
5,2,4,4,0.5
6,7,2,5,0.44
6,6,6,5,0.54
6,2,3,6,0.425
7,2,7,6,0.53
3,2,7,8,0.57
6,8,6,5,0.595
2,3,6,6,0.44
2,1,3,2,0.46
3,3,5,3,0.44
3,3,3,6,0.535
1,3,4,7,0.45
7,3,6,7,0.51
7,6,4,4,0.5
2,4,7,6,0.59
2,8,2,4,0.475
5,5,4,0,0.46
2,4,1,3,0.445
6,2,4,7,0.42
3,5,2,6,0.475
4,7,2,2,0.42
7,5,6,10,0.52
4,8,6,7,0.545
8,5,1,4,0.475
4,9,4,4,0.505
4,7,6,4,0.49
2,7,1,5,0.495
6,3,4,5,0.49
3,4,3,6,0.49
4,6,4,3,0.455
3,3,3,4,0.475
3,7,6,5,0.48
5,5,8,8,0.675
1,4,6,5,0.515
5,9,6,4,0.51
5,3,1,6,0.445
3,1,6,3,0.44
3,12,2,5,0.495
2,4,5,8,0.51
9,7,5,5,0.47
5,5,5,4,0.53
4,4,4,4,0.415
9,7,3,3,0.55
5,6,2,3,0.525
4,7,5,7,0.505
3,8,3,7,0.49
6,2,6,2,0.5
6,5,6,3,0.455
6,4,3,5,0.51
8,3,5,4,0.495
2,5,6,6,0.51
5,8,6,4,0.495
4,5,7,6,0.45
6,3,3,5,0.515
4,6,6,6,0.385
11,4,7,6,0.535
2,3,4,4,0.415
0,3,3,9,0.455
3,3,4,3,0.38
6,6,5,7,0.455
6,4,3,5,0.45
3,5,7,8,0.505
5,10,6,5,0.495
3,4,5,9,0.485
4,9,3,4,0.545
5,6,4,8,0.49
8,6,6,6,0.55
4,6,3,6,0.475
7,3,3,3,0.465
1,2,5,6,0.5
0,7,2,4,0.54
6,6,2,6,0.465
4,5,6,6,0.455
7,3,2,7,0.47
5,6,2,8,0.56
1,6,3,4,0.395
3,7,4,7,0.475
8,3,3,7,0.465
0,5,6,5,0.445
4,4,5,4,0.505
5,7,3,4,0.55
5,5,5,13,0.575
4,5,7,2,0.46
5,4,6,2,0.38
8,6,3,3,0.42
6,3,3,8,0.505
4,3,2,5,0.525
5,7,4,8,0.47
2,6,4,3,0.47
10,5,9,5,0.615
5,5,2,1,0.52
4,7,3,3,0.51
7,5,3,4,0.465
3,6,7,6,0.5
3,4,5,9,0.505
4,3,5,4,0.47
10,5,4,3,0.48
4,2,5,3,0.39
6,5,3,5,0.525
5,3,5,2,0.51
2,8,7,5,0.52
7,6,4,4,0.49
5,5,1,4,0.5
8,2,8,3,0.41
6,4,4,8,0.505
4,1,2,4,0.415
3,2,1,2,0.405
4,1,6,4,0.535
2,6,6,1,0.5
3,6,5,7,0.535
1,0,5,4,0.47
5,4,2,1,0.425
5,8,4,9,0.6
5,1,4,2,0.505
2,10,1,4,0.465
8,5,5,5,0.545
1,6,4,6,0.505
3,4,3,4,0.5
4,3,5,4,0.53
6,3,9,6,0.555
4,1,5,4,0.475
7,5,6,2,0.465
5,10,2,6,0.455
3,5,5,8,0.435
5,8,5,2,0.485
7,6,4,3,0.495
8,5,7,4,0.5
10,0,5,4,0.535
3,8,5,10,0.52
9,3,1,2,0.555
5,5,5,8,0.47
4,6,5,2,0.485
5,9,5,13,0.47
4,4,7,6,0.495
3,5,5,5,0.4
3,1,3,5,0.5
9,5,2,2,0.45
4,8,7,5,0.565
9,3,3,2,0.47
4,5,4,5,0.49
6,5,9,12,0.605
5,5,6,3,0.505
3,10,1,1,0.525
7,8,8,7,0.55
5,2,7,2,0.48
2,5,8,6,0.415
2,9,3,4,0.485
5,4,7,9,0.49
6,5,5,8,0.605
8,0,6,4,0.485
2,6,8,4,0.485
5,3,2,5,0.44
1,5,4,4,0.455
3,8,5,4,0.45
4,3,7,5,0.495
2,8,1,1,0.505
4,3,2,7,0.49
9,3,2,6,0.41
4,2,3,2,0.485
1,9,6,5,0.58
4,8,5,5,0.425
3,3,7,1,0.425
7,3,5,5,0.4
5,4,5,3,0.495
6,8,4,8,0.49
7,2,5,7,0.51
7,9,7,9,0.62
9,4,0,4,0.58
6,5,3,4,0.485
7,4,6,8,0.485
6,6,5,5,0.52
4,9,4,7,0.455
6,9,6,5,0.505
7,3,6,3,0.52
2,5,4,4,0.465
4,6,4,6,0.555
4,7,5,5,0.445
5,4,2,7,0.48
2,5,6,5,0.5
5,6,4,6,0.49
8,6,3,6,0.465
9,8,3,5,0.54
6,7,11,6,0.48
3,5,4,5,0.485
2,3,2,10,0.565
5,5,8,12,0.505
6,3,8,4,0.505
5,5,3,4,0.47
2,3,6,8,0.42
4,7,3,7,0.485
2,2,7,1,0.445
9,4,4,6,0.475
3,6,4,6,0.535
5,8,6,3,0.55
4,6,3,8,0.495
10,5,6,6,0.57
5,4,3,5,0.55
6,4,4,5,0.485
6,8,3,7,0.545
3,2,5,6,0.42
4,4,2,2,0.46
2,5,9,6,0.53
2,1,3,9,0.47
4,4,8,4,0.465
4,4,4,2,0.46
5,3,6,5,0.5
3,5,8,6,0.495
5,8,3,8,0.525
7,3,5,3,0.49
2,7,3,5,0.47
7,8,8,2,0.55
10,3,4,8,0.55
7,6,5,9,0.465
4,8,4,4,0.505
5,11,6,4,0.485
2,5,2,5,0.46
7,5,8,5,0.52
3,2,4,8,0.555
7,4,7,2,0.38
5,2,4,3,0.545
5,2,3,5,0.425
4,9,8,4,0.445
4,1,5,5,0.435
7,7,2,3,0.52
4,2,6,7,0.48
4,5,6,8,0.485
6,7,4,4,0.505
4,3,7,10,0.56
3,5,4,5,0.46
6,8,5,4,0.47
5,3,6,5,0.465
5,1,3,8,0.395
6,8,2,5,0.495
6,6,3,4,0.495
3,3,1,1,0.485
5,6,2,5,0.595
3,7,7,4,0.51
5,3,2,3,0.44
9,4,6,5,0.525
2,4,5,3,0.435
4,9,5,4,0.625
3,5,7,5,0.435
2,3,3,5,0.535
6,2,5,2,0.53
5,6,4,5,0.445
2,4,4,5,0.515
6,4,7,4,0.51
6,8,7,2,0.52
6,6,6,2,0.52
4,6,5,8,0.445
4,2,4,0,0.395
3,7,6,5,0.52
5,6,3,2,0.48
6,4,7,6,0.45
6,7,4,5,0.59
1,5,7,4,0.405
6,5,4,3,0.51
6,1,7,6,0.53
5,4,4,5,0.515
8,3,7,5,0.535
6,5,7,6,0.53
3,10,4,4,0.57
7,6,5,5,0.485
8,2,3,2,0.48
4,5,5,7,0.5
6,4,6,4,0.565
3,4,5,3,0.475
7,8,6,7,0.515
4,5,4,2,0.49
2,3,2,13,0.53
1,6,6,5,0.51
7,10,3,4,0.57
6,8,4,3,0.49
3,5,4,4,0.485
5,5,4,4,0.53
8,5,6,6,0.55
7,3,7,6,0.495
4,6,6,7,0.53
3,4,7,8,0.465
6,7,6,5,0.575
4,7,3,7,0.495
6,7,2,7,0.4
5,5,5,5,0.51
8,3,4,4,0.53
1,6,7,4,0.5
6,8,6,3,0.515
6,8,5,4,0.575
5,6,5,4,0.51
4,1,4,5,0.55
4,6,3,8,0.455
9,6,3,2,0.49
3,7,6,8,0.495
4,6,3,6,0.51
8,3,5,3,0.445
2,2,6,1,0.34
10,3,4,7,0.535
2,7,5,4,0.49
4,7,8,5,0.56
7,7,6,5,0.48
6,5,8,7,0.55
7,8,4,5,0.49
8,3,4,3,0.42
2,3,4,1,0.51
3,4,5,5,0.475
4,7,9,1,0.54
10,3,5,2,0.595
10,6,5,4,0.58
7,5,3,6,0.53
5,2,4,3,0.515
7,7,4,3,0.55
6,4,0,2,0.455
4,4,9,4,0.49
5,1,3,7,0.55
5,5,4,5,0.46
4,7,10,9,0.635
1,6,8,8,0.425
5,2,4,5,0.445
6,4,5,1,0.515
5,4,2,9,0.515
6,5,3,5,0.52
4,4,6,6,0.545
2,6,6,3,0.495
7,9,5,2,0.52
5,2,5,5,0.47
5,1,5,5,0.44
6,6,5,6,0.58
6,4,5,4,0.48
7,4,7,5,0.595
1,3,7,4,0.52
0,8,4,4,0.53
2,2,3,4,0.47
7,4,8,9,0.565
7,7,4,9,0.515
8,9,4,9,0.585
1,4,5,8,0.425
10,5,4,7,0.525
6,5,3,8,0.5
2,5,6,7,0.46
4,10,2,3,0.485
5,11,1,1,0.435
7,5,4,4,0.495
7,4,2,5,0.37
11,7,3,4,0.5
4,4,9,8,0.52
6,3,2,6,0.505
7,1,6,2,0.49
5,7,5,4,0.535
1,5,5,7,0.415
7,8,8,11,0.61
2,4,4,5,0.4
5,5,8,5,0.455
6,4,5,6,0.455
5,4,16,3,0.54
7,5,8,6,0.535
5,6,6,7,0.595
3,9,7,4,0.495
5,4,8,9,0.51
3,5,6,3,0.46
4,4,4,6,0.505
4,6,4,5,0.465
4,2,8,5,0.535
2,4,8,7,0.53
4,5,4,1,0.485
6,6,8,2,0.44
1,3,6,3,0.45
3,4,2,4,0.4
6,3,11,9,0.565
0,6,4,4,0.455
5,5,4,4,0.465
7,6,8,7,0.535
3,2,5,5,0.5
5,4,3,6,0.43
7,4,3,6,0.54
5,4,0,7,0.445
4,5,4,5,0.47
3,5,5,7,0.56
4,7,2,4,0.565
5,5,5,7,0.52
2,8,7,2,0.475
2,9,3,5,0.53
5,3,7,3,0.47
8,8,1,5,0.55
4,4,2,4,0.47
4,4,5,10,0.475
5,4,3,7,0.495
4,5,7,4,0.5
10,6,3,5,0.57
3,3,4,6,0.52
6,7,2,4,0.525
5,9,12,6,0.56
10,6,6,5,0.525
4,4,7,4,0.495
5,0,6,5,0.42
6,12,5,6,0.57
5,5,4,5,0.485
3,7,5,6,0.535
5,6,8,6,0.555
4,3,6,2,0.54
3,5,4,10,0.52
2,6,5,1,0.51
3,7,5,3,0.545
5,4,7,5,0.55
6,5,3,3,0.47
3,7,9,0,0.465
4,2,6,4,0.43
5,2,3,3,0.455
4,6,3,4,0.57
8,3,8,9,0.51
6,2,6,7,0.56
6,8,11,8,0.595
5,3,4,4,0.53
4,4,1,4,0.515
4,2,8,8,0.55
7,4,3,1,0.46
5,5,3,9,0.485
2,4,1,4,0.38
4,9,6,6,0.56
5,2,4,4,0.46
6,2,3,8,0.495
6,7,1,8,0.55
3,1,0,2,0.37
6,4,4,4,0.42
5,6,2,5,0.52
6,8,7,7,0.605
3,10,4,5,0.52
5,7,1,3,0.425
4,5,5,5,0.555
9,6,9,2,0.525
5,7,5,8,0.5
4,6,5,5,0.485
7,5,3,5,0.51
5,8,0,4,0.52
3,9,5,10,0.445
6,7,4,2,0.525
5,4,4,6,0.45
6,3,6,8,0.63
4,7,4,6,0.505
6,3,7,4,0.44
5,2,7,5,0.52
2,5,8,6,0.465
8,3,11,6,0.54
5,2,3,4,0.465
6,2,7,7,0.505
4,5,6,5,0.47
8,3,6,7,0.42
2,4,3,8,0.515
7,3,8,5,0.5
5,10,4,4,0.56
6,7,2,5,0.53
6,1,8,6,0.495
5,5,2,4,0.535
5,5,5,7,0.555
6,5,2,8,0.515
8,3,9,5,0.56
5,5,8,5,0.58
5,6,8,2,0.555
6,3,7,1,0.505
3,6,3,4,0.54
7,5,4,10,0.51
1,5,5,1,0.49
9,6,1,6,0.41
5,4,5,6,0.475
6,7,2,6,0.49
6,12,6,5,0.54
1,2,7,6,0.48
6,5,6,5,0.51
6,2,6,4,0.48
7,2,6,3,0.475
5,5,1,7,0.425
2,2,9,7,0.5
6,7,7,4,0.485
3,9,4,8,0.42
4,13,7,8,0.48
6,4,3,4,0.49
9,2,7,4,0.435
6,5,6,7,0.595
5,4,6,2,0.49
7,5,2,5,0.475
4,3,3,7,0.505
6,5,9,6,0.545
6,6,7,3,0.48
3,5,5,5,0.555
5,5,5,7,0.48
12,6,1,8,0.595
5,2,5,5,0.535
5,7,4,4,0.445
5,8,7,8,0.6
6,3,3,5,0.485
4,7,9,5,0.525
4,4,10,5,0.525
6,7,1,8,0.48
3,3,7,4,0.51
4,6,1,2,0.39
6,5,6,0,0.475
3,3,7,1,0.475
5,7,5,3,0.505
3,2,4,3,0.41
6,6,4,5,0.565
2,3,3,5,0.37
3,6,3,9,0.455
3,3,7,8,0.475
4,4,5,3,0.415
7,4,5,7,0.55
6,2,4,5,0.47
3,4,4,4,0.475
2,3,8,5,0.505
3,7,5,4,0.48
3,2,5,3,0.54
5,6,5,3,0.48
3,4,6,4,0.475
3,7,5,7,0.525
10,5,7,8,0.545
6,8,5,9,0.52
3,4,8,3,0.455
4,6,8,10,0.57
4,5,5,3,0.445
4,4,5,5,0.57
6,1,5,3,0.41
8,4,5,5,0.49
7,4,5,4,0.58
8,1,9,1,0.565
5,3,3,2,0.48
5,4,6,4,0.485
2,6,7,2,0.515
5,11,7,5,0.615
2,3,4,1,0.49
5,6,5,2,0.475
7,9,3,4,0.495
3,11,3,5,0.485
4,3,4,5,0.435
4,6,5,6,0.575
7,6,8,2,0.51
5,5,6,6,0.495
3,3,4,1,0.475
4,3,5,3,0.495
4,5,5,11,0.62
8,3,3,5,0.63
5,6,4,6,0.485
8,1,7,5,0.535
9,4,5,4,0.47
4,6,3,4,0.495
6,4,6,4,0.53
5,9,5,5,0.585
3,7,6,6,0.53
1,1,9,4,0.495
6,7,8,7,0.52
6,5,7,4,0.57
6,6,8,3,0.47
3,3,6,4,0.49
8,5,5,4,0.48
4,9,4,5,0.59
3,6,4,7,0.5
6,7,4,6,0.54
5,8,8,4,0.54
7,0,6,5,0.505
3,4,8,10,0.595
4,3,4,6,0.45
3,8,9,9,0.55
7,6,7,3,0.52
4,6,5,2,0.46
4,4,6,7,0.435
3,7,5,9,0.495
7,5,8,5,0.515
7,3,7,2,0.43
3,5,3,8,0.44
3,3,4,6,0.525
6,4,6,6,0.47
