Income,Limit,Rating,Age,Balance
27.33,6179,459,36,1099
34.772,2021,167,57,0
36.934,4270,299,63,283
76.348,4697,344,60,108
14.887,4745,339,58,724
121.834,10673,750,54,1573
30.132,2168,206,52,0
24.05,2607,221,32,0
22.379,3965,292,34,384
28.316,4391,316,29,453
58.026,7499,560,67,1237
10.635,3584,294,69,423
46.102,5180,382,81,516
58.929,6420,459,66,789
80.861,4090,335,29,0
158.889,11589,805,62,1448
30.42,4442,316,30,450
36.472,3806,309,52,188
23.365,2179,167,75,0
83.869,7667,554,83,930
58.351,4411,326,85,126
55.187,5352,385,50,538
124.29,9560,701,52,1687
28.508,3933,287,56,336
130.209,10088,730,39,1426
30.406,2120,181,79,0
23.883,5384,398,73,802
93.039,7398,517,67,749
50.699,3977,304,84,69
27.349,2000,169,51,0
10.403,4159,310,43,571
23.949,5343,383,40,829
73.914,7333,529,67,1048
21.038,1448,145,58,0
68.206,6784,499,40,1411
57.337,5310,392,45,456
10.793,3878,321,29,638
23.45,2450,180,78,0
10.842,4391,358,37,1216
51.345,4327,320,46,230
151.947,9156,642,91,732
24.543,3206,243,62,95
29.567,5309,397,25,799
39.145,4351,323,66,308
39.422,5245,383,44,637
34.909,5289,410,62,681
41.025,4229,337,79,246
15.476,2762,215,60,52
12.456,5395,392,65,955
10.627,1647,149,71,195
38.954,5222,370,76,653
44.847,5765,437,53,1246
98.515,8760,633,78,1230
33.437,6207,451,44,1549
27.512,4613,344,72,573
121.709,7818,584,50,701
15.079,5673,411,28,1075
59.879,6906,527,78,1032
66.989,5614,430,47,482
69.165,4668,341,34,156
69.943,7555,547,76,1058
33.214,5137,387,59,661
25.124,4776,378,29,657
15.741,4788,360,39,689
11.603,2278,187,71,0
69.656,8244,579,41,1329
10.503,2923,232,25,191
42.529,4986,369,37,489
60.579,5149,388,38,443
26.532,2910,236,58,52
27.952,3557,263,35,163
29.705,3351,262,71,148
15.602,906,103,36,0
20.918,1233,128,47,16
58.165,6617,460,56,856
22.561,1787,147,66,0
34.509,2001,189,80,0
19.588,3211,265,59,199
36.364,2220,188,50,0
15.717,905,93,38,0
22.574,1551,134,43,98
10.363,2430,191,47,0
28.474,3202,267,66,132
72.945,8603,621,64,1355
85.425,5182,402,60,218
36.508,6386,469,79,1048
58.063,4221,304,50,118
25.936,1774,135,71,0
15.629,2493,186,60,0
41.4,2561,215,36,0
33.657,6196,450,55,1092
67.937,5184,383,63,345
180.379,9310,665,67,1050
10.588,4049,296,66,465
29.725,3536,270,52,133
27.999,5107,380,55,651
40.885,5013,379,46,549
88.83,4952,360,86,15
29.638,5833,433,29,942
25.988,1349,142,82,0
39.055,5565,410,48,772
15.866,3085,217,39,136
44.978,4866,347,30,436
30.413,3690,299,25,728
16.751,4706,353,48,1255
30.55,5869,439,81,967
163.329,8732,636,50,529
23.106,3476,257,50,209
41.532,5000,353,50,531
128.04,6982,518,78,250
54.319,3063,248,59,269
53.401,5319,377,35,541
36.142,1852,183,33,0
63.534,8100,581,50,1298
49.927,6396,485,75,890
14.711,2047,167,67,0
18.967,1626,156,41,0
18.036,1552,142,48,0
60.449,3098,272,69,0
16.711,5274,387,42,863
10.852,3907,296,30,485
26.37,3235,268,78,159
24.088,3665,287,56,309
51.532,5096,380,31,481
140.672,11200,817,46,1677
42.915,2532,205,42,0
27.272,1389,149,67,0
65.896,5140,370,49,293
55.054,4381,321,74,188
20.791,2672,204,70,0
24.919,5051,372,76,711
21.786,4632,355,50,580
31.335,3526,289,38,172
59.855,4964,365,46,295
44.061,4970,352,79,414
82.706,7506,536,64,905
24.46,1924,165,50,0
45.12,3762,287,80,70
75.406,3874,298,41,0
14.956,4640,332,33,681
75.257,7010,494,34,885
33.694,4891,369,52,1036
23.375,5429,396,57,844
27.825,5227,386,63,823
92.386,7685,534,75,843
115.52,9272,656,69,1140
14.479,3907,296,43,463
52.179,7306,522,57,1142
68.462,4712,340,71,136
18.951,1485,129,82,0
27.59,2586,229,54,0
16.279,1160,126,78,5
25.078,3096,236,27,81
27.229,3484,282,51,265
182.728,13913,982,98,1999
31.029,2863,223,66,415
17.765,5072,364,66,732
125.48,10230,721,82,1361
49.166,6662,508,68,984
41.192,3673,297,54,121
94.193,7576,527,44,846
20.405,4543,329,72,1054
12.581,3976,291,48,474
62.328,5228,377,83,380
21.011,3402,261,68,182
24.23,4756,351,64,594
24.314,3409,270,23,194
32.856,5884,438,68,926
12.414,855,119,32,0
41.365,5303,377,45,606
149.316,10278,707,80,1107
27.794,3807,301,35,320
13.234,3922,299,77,426
14.595,2955,260,37,204
10.735,3746,280,44,410
48.218,5199,401,39,633
30.012,1511,137,33,0
21.551,5380,420,51,907
160.231,10748,754,69,1192
13.433,1134,112,70,0
48.577,5145,389,71,503
30.002,1561,155,70,0
61.62,5140,374,71,302
104.483,7140,507,41,583
41.868,4716,342,47,425
12.068,3873,292,44,413
180.682,11966,832,58,1405
34.48,6090,442,36,962
39.609,2539,188,40,0
30.111,4336,339,81,347
12.335,4471,344,79,611
53.566,5891,434,82,712
53.217,4943,362,46,382
26.162,5101,382,62,710
64.173,6127,433,80,578
128.669,9824,685,67,1243
113.772,6442,489,69,790
61.069,7871,564,56,1264
23.793,3615,263,70,216
89,5759,440,37,345
71.682,8028,599,57,1208
35.61,6135,466,40,992
39.116,2150,173,75,0
19.782,3782,293,46,840
55.412,5354,383,37,1003
29.4,4840,368,76,588
20.974,5673,413,44,1000
87.625,7167,515,46,767
28.144,1567,142,51,0
19.349,4941,366,33,717
53.308,2860,214,84,0
115.123,7760,538,83,661
101.788,8029,574,84,849
24.824,5495,409,33,1352
14.292,3274,282,64,382
20.088,1870,180,76,0
26.4,5640,398,58,905
19.253,3683,287,57,371
16.529,1357,126,62,0
37.878,6827,482,80,1129
83.948,7100,503,44,806
135.118,10578,747,81,1393
73.327,6555,472,43,721
25.974,2308,196,24,0
17.316,1335,138,65,0
49.794,5758,410,40,734
12.096,4100,307,32,560
13.364,3838,296,65,480
57.872,4171,321,67,138
37.728,2525,192,44,0
18.701,5524,415,64,966
